Timestamp,Time Shift (s),Point 0 x [m],Point 0 y [m],Point 1 x [m],Point 1 y [m],Point 2 x [m],Point 2 y [m],Point 3 y [m],Walking Speed [m/s],Step width [m],Step frequency [Hz],Weight [N],Reverse Direction,Cost Function Value,Normalized Cost Func
2019-04-25T214149-923Z,4.9,0.549681,1.784794,8.234259,0.704373,15.616193,1.126002,1.717906,1.490648,0.17451,1.916417,2824.916786,0,0.000132831,4.70E-08
2019-04-24T213309-195Z,4.87,0.561105,1.773567,2.951649,1.530214,10.331412,0.98521,1.8,1.12283,0.149036,1.877005,2729.494818,0,0.000137812,5.05E-08
2019-04-27T015616-052Z,0.71,0.570895,1.55,8.4,1.92558,15.74379,1.318846,1.8,1.342236,-0.134495,1.813896,3313.476168,0,0.00015358,4.64E-08
2019-04-26T202300-164Z,10.86,0.573011,1.569334,1.627015,1.042332,15.733508,1.33397,1.799932,1.295516,-0.061597,1.884996,2606.302571,1,0.000127376,4.89E-08
2019-04-24T215758-476Z,7.26,0.574481,1.59779,3.674679,1.434666,15.8,1.464269,1.8,1.247785,-0.21065,1.652981,2339.986309,1,0.000100186,4.28E-08
2019-04-25T152106-897Z,4.62,0.581492,1.720921,3.208488,1.364738,15.642835,1.358405,1.8,1.698344,-0.031941,2.213071,2464.056666,0,0.000131867,5.35E-08
2019-04-24T212613-342Z,6.77,0.586513,1.757588,2.056727,1.10715,14.674228,1.058076,1.8,1.51276,0.230346,1.965228,2930.09284,1,0.000124409,4.25E-08
2019-04-26T190856-641Z,1.64,0.591442,1.721074,1.841861,1.095864,12.951551,1.381217,1.8,1.278508,-0.051478,1.845306,3635.892662,1,0.000175302,4.82E-08
2019-04-25T233402-680Z,4.53,0.591594,1.773126,4.227664,1.444998,8.95138,0.849132,1.8,1.263771,-0.073859,1.86525,2836.925817,0,0.000147137,5.19E-08
2019-04-24T220017-985Z,7.41,0.592052,1.786323,8.255799,1.182427,13.108429,1.521226,1.8,1.372835,0.055677,1.780536,3909.675234,1,0.000151009,3.86E-08
2019-04-24T213140-681Z,6.66,0.593119,1.768568,1.912755,1.158228,14.088633,1.694545,1.8,1.14716,-0.003174,1.854028,2681.956014,1,0.000142128,5.30E-08
2019-04-25T181055-627Z,6.76,0.594953,1.551094,1.967411,1.075792,15.30674,1.128848,1.738712,1.334151,-0.14226,1.778069,4139.98645,1,0.000197096,4.76E-08
2019-04-25T162811-218Z,6.97,0.59541,1.575866,2.544037,0.629684,15.681832,1.333231,1.799995,1.445036,-0.078095,2.090714,1897.130166,1,8.89E-05,4.69E-08
2019-04-24T220058-162Z,7.4,0.595541,1.752714,8.4,1.070635,15.542527,1.447152,1.799999,1.297472,-0.116467,1.755069,4061.007528,1,0.000203183,5.00E-08
2019-04-25T165701-950Z,5.17,0.603382,1.790275,2.524754,1.600286,15.397401,1.172739,1.8,1.514647,-0.293386,1.908507,3385.14621,0,0.000168215,4.97E-08
2019-04-26T205429-448Z,1.73,0.604916,1.710956,2.21101,1.435616,15.487303,1.093655,1.750004,1.247816,-0.17184,1.841609,3497.796262,0,0.000177098,5.06E-08
2019-04-26T210603-931Z,9.01,0.618224,1.762104,3.010551,1.757192,15.305157,1.474727,1.8,1.539671,0.081344,1.880138,4477.239457,0,0.000205453,4.59E-08
2019-04-25T190003-110Z,5.77,0.61898,1.796134,3.312078,0.482931,14.022456,0.792442,1.8,1.158304,-0.027492,1.870349,2162.750209,1,0.000165267,7.64E-08
2019-04-26T182810-727Z,7.26,0.622642,1.745758,1.622642,1.284453,15.741065,1.268247,1.797714,1.408328,-0.050558,2.015391,2913.196186,1,0.00014229,4.88E-08
2019-04-24T205244-293Z,5.92,0.62365,1.824799,3.114938,1.451516,9.600711,0.576308,1.782653,1.435465,0.104123,1.923934,2700.086454,0,0.000111026,4.11E-08
2019-04-25T150945-390Z,4.67,0.625214,1.777535,2.507811,1.306104,15.261199,1.197431,1.799999,1.477797,-0.058984,2.107086,3127.56226,0,0.000165597,5.29E-08
2019-04-25T183914-468Z,7.65,0.628558,1.803703,2.051905,1.09203,14.107533,1.524178,1.8,1.459372,-0.000768,2.032643,2540.345149,1,0.000139506,5.49E-08
2019-04-25T164558-052Zb,1.92,0.631163,1.827463,1.632996,1.326547,14.824449,1.083547,1.780713,1.414371,0.180692,1.886686,2902.986387,1,0.000142141,4.90E-08
2019-04-26T011000-642Z,6.49,0.631744,1.719477,3.415842,1.271665,15.187133,1.036446,1.793382,1.309955,0.114398,1.929922,2623.534859,0,0.000126708,4.83E-08
2019-04-25T231337-194Z,1.31,0.632925,1.725895,3.08184,1.300645,15.799177,1.312166,1.793866,1.324598,0.040628,1.976782,2534.725501,0,0.000125004,4.93E-08
2019-04-26T173447-976Z,9.69,0.63296,1.55,3.060258,0.872763,14.261114,1.303787,1.8,1.144498,-0.009123,1.808168,2534.517769,1,0.000114638,4.52E-08
2019-04-24T205558-147Z,4.57,0.633682,1.55,4.192458,0.703401,15.568411,1.216244,1.744689,1.447534,-0.179303,2.115751,3358.529947,0,0.000208385,6.20E-08
2019-04-26T183024-086Z,4.49,0.634516,1.845907,2.716966,1.158454,14.48748,1.526316,1.8,1.448786,-0.342389,1.907713,2237.248872,0,0.000121804,5.44E-08
2019-04-25T222634-379Z,5.92,0.637298,1.719067,8.4,2.039452,15.135797,1.532413,1.8,1.275094,-0.005357,2.000781,2968.926969,0,0.000179011,6.03E-08
2019-04-25T151833-318Z,7.35,0.637764,1.55,7.121739,0.593571,15.630338,1.215017,1.799849,1.368836,-0.079649,1.997352,2526.712874,1,0.000129022,5.11E-08
2019-04-25T215648-786Z,7.04,0.639647,1.788227,2.908773,1.70911,13.983989,1.350564,1.8,1.153389,-0.116892,1.803164,2440.92822,0,0.000162183,6.64E-08
2019-04-25T155639-314Z,7.73,0.64211,1.764289,2.331403,1.036299,15.520917,1.504423,1.8,1.425008,0.120773,1.884254,3478.276439,1,0.000158268,4.55E-08
2019-04-25T212304-414Z,4.22,0.64649,1.772486,2.330425,1.608838,15.12471,1.17226,1.8,1.246754,-0.180396,1.845285,3382.93595,0,0.000188671,5.58E-08
2019-04-25T233448-137Z,5.32,0.652413,1.78354,2.711484,1.855168,15.8,1.424376,1.799997,1.445421,0.359149,2.028877,2539.015983,0,0.000128905,5.08E-08
2019-04-26T183109-790Z-sp,8.38,0.655307,1.816735,3.010489,0.642693,14.238663,0.956459,1.8,1.569144,-0.019558,2.093624,2257.834928,0,0.000160762,7.12E-08
2019-04-26T203859-435Z,9.06,0.6574,1.762692,3.203896,1.365441,14.757019,0.896548,1.784932,1.351511,0.152115,1.880838,3275.382246,0,0.000171116,5.22E-08
2019-04-25T200818-021Z,4.95,0.657812,1.715558,2.678809,1.645356,15.8,1.378543,1.786171,1.468217,0.380813,2.05305,2563.640297,0,0.000117153,4.57E-08
2019-04-24T204034-354Z,7.37,0.662727,1.788735,1.826579,1.20681,14.300448,1.577565,1.8,1.470978,-0.186612,1.951793,2664.483049,1,0.000111133,4.17E-08
2019-04-26T213827-299Z,9.32,0.663145,1.645365,2.763754,0.848574,13.781951,1.385008,1.8,1.606148,0.022121,2.131559,2290.278198,1,0.000104253,4.55E-08
2019-04-25T150302-483Z,2.77,0.66465,1.55,6.420009,1.377694,13.803679,1.774981,1.8,1.217956,-0.065774,1.832476,2463.192447,0,0.000155103,6.30E-08
2019-04-25T215246-618Z,2.6,0.664818,1.587787,8.4,1.18906,15.784084,1.664519,1.802299,1.067321,0.142415,1.581614,3688.865157,0,0.000197952,5.37E-08
2019-04-26T225500-254Z,1.27,0.666978,1.55,3.230249,1.375853,15.6158,1.225432,1.780117,1.302534,-0.089565,1.95289,2695.797684,0,0.000148646,5.51E-08
2019-04-24T224825-175Z,4.16,0.667429,1.795264,2.839726,1.844645,14.131842,1.574288,1.8,1.380531,-0.069364,1.887415,3274.752395,0,0.000185921,5.68E-08
2019-04-26T194158-359Z,7.03,0.667858,1.55,1.795906,1.153538,14.931225,1.512736,1.8,1.200293,-0.093689,1.797229,2654.073845,1,0.000155261,5.85E-08
2019-04-24T233830-313Z,5.35,0.672337,1.779608,2.493635,1.538727,15.8,1.446731,1.8,1.294087,-0.023955,1.879117,2974.140897,0,0.000156746,5.27E-08
2019-04-25T181617-720Z,5.25,0.674418,1.780965,2.038493,1.489841,15.553631,1.455804,1.8,1.589568,0.318026,1.906714,3825.537538,0,0.000151167,3.95E-08
2019-04-25T233248-638Z,5.09,0.678663,1.799229,8.4,1.724338,12.739795,0.858977,1.738149,1.425458,-0.017141,1.949526,3502.393398,0,0.000174157,4.97E-08
2019-04-25T211850-543Z,7.36,0.681997,1.55,8.255717,0.685234,13.316405,1.281733,1.8,1.251352,-0.163809,1.834834,2349.347072,1,0.000102131,4.35E-08
2019-04-24T210536-576Z,7.72,0.682014,1.554191,2.75377,0.881903,15.439037,1.46193,1.8,1.364496,-0.192312,1.844202,4734.271159,1,0.000217939,4.60E-08
2019-04-24T212249-351Z,7.84,0.684786,1.55,4.385254,1.359256,15.8,1.597855,1.8,1.308199,-0.051416,1.910377,2672.270043,0,0.000149219,5.58E-08
2019-04-25T205937-710Z,6.92,0.684825,1.55,4.227916,1.335304,15.131273,1.099885,1.795676,1.215364,0.0752,1.774708,3378.454179,0,0.000194555,5.76E-08
2019-04-26T220910-532Z,2.18,0.684924,1.735584,2.466509,0.95424,14.138979,1.327422,1.8,1.474591,0.118643,2.048313,2498.902047,1,0.000136066,5.45E-08
2019-04-25T185355-623Z,7.2,0.686436,1.550277,2.497954,0.689443,14.648628,0.768934,1.755226,1.449261,0.090163,1.940492,2887.015831,1,0.000133517,4.62E-08
2019-04-25T153413-940Z,2.84,0.688662,1.718602,3.270184,1.761501,10.095232,1.193334,1.8,1.343317,0.212464,1.950618,2478.457516,0,0.000137883,5.56E-08
